AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Timothy R. Parsons Medal	recognizing achievement in ocean sciences	0.0	4.0	0.0	0.0	0.0625	2012-01-01T00:00:00Z	2018-01-01T00:00:00Z	Andrew Trites; Christopher Harley; Louis Fortier; Roger François
Tomalla Foundation	$null$	0.0	12.0	0.0	0.0	0.000244140625	1981-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alexei Starobinski; Allan Sandage; Andrei Sakharov; Demetrios Christodoulou; Gustav Andreas Tammann; Jim Peebles; Joseph Hooton Taylor; Kip S. Thorne; Scott Tremaine; Subrahmanyan Chandrasekhar; Viatcheslav Mukhanov; Werner Israel
Tractatus Award	Austrian philosophy essay award	1.0	10.0	0.0	0.0	0.005859375000000001	2009-01-01T00:00:00Z	2019-01-01T00:00:00Z	Franz Schuh; Hartmut Rosa; Herbert Schnädelbach; Kurt Bayertz; Kurt Flasch; Lisa Herzog; Norbert Bolz; Peter Bieri; Ralf Konersmann; Thomas Bauer; Ulrich Greiner
Treprisen	$null$	0.0	4.0	0.0	0.0	0.0625	1961-01-01T00:00:00Z	1990-01-01T00:00:00Z	Jostein Molden; Knut Knutsen; Ola Steen; Per Cappelen
Troland Research Awards	science award	2.0	2.0	0.0	0.0	0.6875	1987-01-01T00:00:00Z	2019-01-01T00:00:00Z	Adriana Galván; Brian Wandell; Laurence T. Maloney; Nancy Kanwisher
Truman Capote Award for Literary Criticism	American literary award	1.0	2.0	0.0	0.0	0.5	2003-01-01T00:00:00Z	2017-01-01T00:00:00Z	Geoffrey Hartman; Gillian Beer; Seamus Heaney
Træprisen	Danish wooden buildings architectural prize	0.0	7.0	0.0	0.0	0.0078125	1961-01-01T00:00:00Z	2008-01-01T00:00:00Z	Gehrdt Bornebusch; Hans Christian Hansen; Hans Dissing; Julien De Smedt; Knud Munk; Max Brüel; Viggo Møller-Jensen
Tsungming Tu Award	$null$	2.0	10.0	0.0	0.0	0.019287109375000007	2007-01-01T00:00:00Z	2017-01-01T00:00:00Z	Ansgar Jüngel; Christoph Plass; Claudia Felser; Eberhard Gross; Hannah Monyer; Harald zur Hausen; Johannes Buchmann; Jürgen Hennig; Klaus H. Ploog; Klaus Müllen; Peter Fulde; Peter Jonas
Turing Award	computer science award	2.0	27.0	0.0	0.0	8.121132850646968e-07	1972-01-01T00:00:00Z	2019-01-01T00:00:00Z	Allen Newell; Amir Pnueli; Andrew Yao; Barbara Liskov; Charles P. Thacker; David A. Patterson; E. Allen Emerson; Edsger W. Dijkstra; Edward Feigenbaum; Frances E. Allen; Geoffrey Hinton; John Backus; John Cocke; John L. Hennessy; Ken Thompson; Kenneth E. Iverson; Leonard Adleman; Leslie Valiant; Martin Edward Hellman; Michael Stonebraker; Ole-Johan Dahl; Pat Hanrahan; Richard E. Stearns; Ron Rivest; Silvio Micali; Tim Berners-Lee; Whitfield Diffie; Yann LeCun; Yoshua Bengio
Turing Lecture	$null$	0.0	13.0	0.0	0.0	0.0001220703125	1999-01-01T00:00:00Z	2018-01-01T00:00:00Z	Andy Harter; Brian Randell; Christopher M. Bishop; Donald Knuth; Fred Brooks; Grady Booch; James Martin; Mark Welland; Nick Donofrio; Robert Pepper; Samson Abramsky; Sir Michael Brady; Suranga Chandratillake
Twenty-five Year Award	architecture prize	0.0	1.0	0.0	0.0	0.5	2002-01-01T00:00:00Z	2002-01-01T00:00:00Z	Josep Lluís Sert
Txiotesia award	Award for the best six tweets describing the subject of a PhD thesis in Basque	2.0	1.0	0.0	0.0	0.875	2013-01-01T00:00:00Z	2018-01-01T00:00:00Z	Eneko Bidegain; Estitxu Garai Artetxe; Naima El Bani
Tycho Brahe Prize	prize awarded by the European Astronomical Society	0.0	2.0	0.0	0.0	0.25	2012-01-01T00:00:00Z	2014-01-01T00:00:00Z	Antoine Émile Henry Labeyrie; Reinhard Genzel
