AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Ladies' award of the French Astronomique Society	French astronomy prize	0.0	1.0	0.0	0.0	0.5	1952-01-01T00:00:00Z	1952-01-01T00:00:00Z	Gilbert Walusinski
Lagrange Award for Continuous Optimization	$null$	1.0	2.0	0.0	0.0	0.5	2006-01-01T00:00:00Z	2015-01-01T00:00:00Z	Katya Scheinberg; Luis Nunes Vicente; Roger Fletcher
Lagrange Prize	$null$	0.0	1.0	0.0	0.0	0.5	2015-01-01T00:00:00Z	2015-01-01T00:00:00Z	Jure Leskovec
Lalande Prize	award for scientific advances in astronomy, given from 1802 until 1970 by the French Academy of Sciences	2.0	127.0	0.0	0.0	1.232211953249463e-35	1803-01-01T00:00:00Z	1960-01-01T00:00:00Z	Abel Porteau; Alexandre Schaumasse; Alphonse Borrelly; Alvan Clark; Amédée Mouchez; Andrew Claude de la Cherois Crommelin; Andrew Graham; André Lallemand; Annibale de Gasparis; Annibale de Gasparis; Annibale de Gasparis; Annibale de Gasparis; Annibale de Gasparis; Asaph Hall; Bernard Lyot; Bernhard von Lindenau; Carl Bremiker; Carl Friedrich Gauss; Carl Ludwig Christian Rümker; Carl Wilhelm Wirtz; Charles André; Charles Dillon Perrine; Claude-Louis Mathieu; Cyrille Souillart; Daniel Barbier; Edward Emerson Barnard; Edward Sabine; Francesco Carlini; François Gonnessiat; Friedrich Bessel; George Biddell Airy; George Mary Searle; Georges Fournier; Georges-Ernest Fleuriais; Georges-Ernest Fleuriais; Giovanni Antonio Amedeo Plana; Giovanni Battista Donati; Giovanni Schiaparelli; Giovanni Schiaparelli; Giuseppe Piazzi; Giuseppe Piazzi; Guillaume Bigourdan; Guillaume Bigourdan; Heinrich Louis d'Arrest; Heinrich Wilhelm Olbers; Henri Gambey; Henri Joseph Anastase Perrotin; Henry Norris Russell
Landau Gold Medal	physics award of the Russian Academy of sciences	0.0	12.0	0.0	0.0	0.000244140625	1972-01-01T00:00:00Z	1998-01-01T00:00:00Z	Alexander Patashinski; Alexei Abrikosov; Alexei L. Efros; Boris Shklovskii; Evgeny Lifshitz; Igor Dzyaloshinsky; Isaak Khalatnikov; Lev Gor'kov; Spartak Belyaev; Viktor-Andrey Borovik-Romanov; Vladimir Belinski; Vladimir Petrovich Mineev
Langevin prize	French prize in sciences	1.0	5.0	0.0	0.0	0.10937500000000001	1986-01-01T00:00:00Z	2015-01-01T00:00:00Z	Abbas Bahri; Bernard Helffer; Charles Favre; Leticia Cugliandolo; Luc Robbiano; Michel Broyer
Langley Gold Medal	$null$	0.0	19.0	0.0	0.0	1.9073486328125e-06	1913-01-01T00:00:00Z	1999-01-01T00:00:00Z	Alan Shepard; Barry Goldwater; Benjamin O. Davis, Jr.; Charles M. Manly; Glenn Curtiss; Grover Loening; Gustave Eiffel; Hugh Latimer Dryden; James E. Webb; Jerome Clarke Hunsaker; Joseph Sweetman Ames; Michael Collins; Neil Armstrong; Richard E. Byrd; Robert H. Goddard; Robert Thomas Jones; Ross Perot, Jr.; Samuel C. Phillips; Wernher von Braun
Lannan Literary Awards	award	2.0	3.0	0.0	0.0	0.5	1990-01-01T00:00:00Z	1999-01-01T00:00:00Z	Anne Carson; Christopher Hitchens; Derek Mahon; Louise Glück; Seamus Heaney
Lars Onsager Prize	award of the American Physical Society	0.0	36.0	0.0	0.0	1.4551915228366852e-11	1995-01-01T00:00:00Z	2020-01-01T00:00:00Z	A. Brooks Harris; Alexander Belavin; Alexander Markovich Polyakov; Alexander Zamolodchikov; B. Sriram Shastry; Bertrand Halperin; Chen-ning Yang; Christopher Jarzynski; Christopher Pethick; Daniel Friedan; Daniel S. Fisher; David J. Thouless; Franz Wegner; Giorgio Parisi; Gordon Baym; Grigory E. Volovik; Ian Keith Affleck; John Cardy; John Toner; Leo Kadanoff; Marc Mézard; Michael Fisher; Michael Kosterlitz; Natan Andrei; Paul Wiegmann; Pierre Hohenberg; Riccardo Zecchina; Robert Kraichnan; Rodney Baxter; Stephen Shenker; Subir Sachdev; Tamás Vicsek; Tin-Lun Ho; Valery Pokrovsky; Vladimir Petrovich Mineev; Yuhai Tu
Lasker Award	American medical science award	1.0	0.0	0.0	0.0	1.0	1958-01-01T00:00:00Z	1958-01-01T00:00:00Z	Lois Maddox Miller
Lasker-Bloomberg Public Service Award	$null$	14.0	38.0	0.0	0.0	0.0005975601600036737	1946-01-01T00:00:00Z	2013-01-01T00:00:00Z	Abel Wolman; Alfred Newton Richards; Alice Hamilton; Anthony Fauci; Basil O'Connor; Betty Ford; Bill Gates; Brock Chisholm; Christopher Reeve; Claude Pepper; David J. Mahoney; Earle B. Phelps; Elliot Richardson; Eppie Lederer; Eugene Lindsay Bishop; Eunice Kennedy Shriver; Felix J. Underwood; Florence R. Sabin; Fred Soper; Henry Heimlich; Howard A. Rusk; J. Lister Hill; John Porter; John Wilson; Jules C. Stein; Leona Baumgartner; Lewis Thomas; Lowell P. Weicker; Lyndon B. Johnson; Ma Haide; Margaret Gene Arnstein; Marion Winifred Sheahan; Mark Hatfield; Martha May Eliot; Maurice Hilleman; Maurice Pate; Melinda Gates; Melvin Laird; Nancy Brinker; Nancy Wexler; Oren Harris; Paul Rogers; Pearl McIver; Robert Defries; Robin Chandler Duke; Rolla Dyer; Saul Krugman; Theodore Cooper; Tip O'Neill; Warren Grant Magnuson; William Foege; William P. Shepard
Lasker-DeBakey Clinical Medical Research Award	$null$	4.0	108.0	0.0	0.0	1.2412751380741903e-27	1946-01-01T00:00:00Z	2018-01-01T00:00:00Z	Aaron T. Beck; Akira Endō; Alain Carpentier; Albert Starr; Alec Jeffreys; Alexander S. Wiener; Alfred Blalock; Alfred Sommer; Alim-Louis Benabid; Arnall Patz; Blake S. Wilson; Brian Druker; C. Walton Lillehei; Carl Muschenheim; Charles Brenton Huggins; Charles M. Rice; Conrad Elvehjem; Cyril Clarke; David Cushman; David H. Smith; Denis Parsons Burkitt; Donald Metcalf; Donald Pinkel; Douglas R. Lowy; Edgar Van Nuys Allen; Edmund Klein; Edward D. Freis; Edward H. Robitzek; Edwin Southern; Elizabeth F. Neufeld; Emil C. Gotschlich; Emil Frei; Eugene J. Van Scott; F. Mason Sones; Frederic A. Gibbs; Georgios Cotzias; Georgios Papanikolaou; Gilbert Dalldorf; Godfrey Hounsfield; Graeme Clark; H.Trendley Dean; Harvey J. Alter; Heinz Lehmann; Henri Laborit; Herbert E. Warden; Inge Edler; Irving Selikoff; Isaac Djerassi; James F. Holland; James P. Allison; John Allen Clements; John B. Glen; John B. Robbins; John Charnley; John Friend Mahoney; John G. Gorman; John Heysham Gibbon; John Holmes Dingl
Lautenschläger Research Prize	$null$	2.0	5.0	0.0	0.0	0.2265624999999998	2001-01-01T00:00:00Z	2015-01-01T00:00:00Z	Axel Michaels; Eva Grebel; Joachim Wittbrodt; Johanna Stachel; Matthias Hentze; Peter H. Krammer; Ralf Bartenschlager
Lavrentiev Prize	award in mathematics and mechanics by the Russian Academy of Sciences	0.0	2.0	0.0	0.0	0.25	1993-01-01T00:00:00Z	2015-01-01T00:00:00Z	Petr Tovstik; Sergei Godunov
Le Fèvre Medal	award for chemistry research	4.0	6.0	0.0	0.0	0.3769531250000001	2006-01-01T00:00:00Z	2019-01-01T00:00:00Z	Amir Karton; Deanna D'Alessandro; Elizabeth New; Martina Stenzel; Michael Sherburn; Michelle Coote; Richard J Payne; Stephen J. Blanksby; Sébastien Perrier; Thomas Maschmeyer
LeSueur Memorial Award	chemistry prize	0.0	2.0	0.0	0.0	0.25	2002-01-01T00:00:00Z	2011-01-01T00:00:00Z	Howard Alper; Mitchell A. Winnik
Leeuwenhoek Lecture	$null$	2.0	49.0	0.0	0.0	5.893063814710332e-13	1950-01-01T00:00:00Z	2018-01-01T00:00:00Z	Aaron Klug; Albert Kluyver; Alfred Rupert Hall; André Lwoff; Anthony Epstein; Christopher Andrewes; David Hopwood; David Keilin; David Tyrrell; Donald Devereux Woods; Ernest Gale; Frank Fenner; François Jacob; Fred Brown; Geoffrey Beale; George A.M. Cross; Gordon Elliott Fogg; Guido Pontecorvo; Hamao Umezawa; Hans Kornberg; Harry Smith; Howard Dalton; Jacques Monod; James Baddiley; Joel Mandelstam; John Cairns; John Postgate; John Rodney Guest; John Skehel; Juda Hirsch Quastel; Julian Davies; Keith Chater; Keith Vickerman; Kenneth Murray; Michael Stoker; Norman Pirie; Patricia Clarke; Paul Fildes; Percy Wragg Brian; Peter Biggs; Peter C. Doherty; Piet Borst; Renato Dulbecco; Robert G. Webster; Robin Weiss; Sarah Cleaveland; Stephen C. West; William Bradshaw Amos; William Fleming Hoggan Jarrett; William Hayes; William Stewart
Leeuwenhoek Medal	award	0.0	14.0	0.0	0.0	6.103515625e-05	1877-01-01T00:00:00Z	2015-01-01T00:00:00Z	André Lwoff; C. B. van Niel; Carl Woese; Christian Gottfried Ehrenberg; Craig Venter; David Bruce; Ferdinand Cohn; Félix d'Herelle; Karl Stetter; Louis Pasteur; Martinus Wilhelm Beijerinck; Roger Stanier; Selman Abraham Waksman; Sergei Winogradsky
Leibniz Medal	award of the Royal Prussian Academy of Sciences, later the German Academy of Sciences at Berlin and since 1994 the Berlin-Brandenburg Academy of Sciences and Humanities	1.0	8.0	0.0	0.0	0.01953125	1910-01-01T00:00:00Z	2008-01-01T00:00:00Z	Hans Krummrey; Hans Schmauch; Hasso Plattner; Hugo Ibscher; Johannes Bolte; Klaus Johann Jacobs; Leiva Petersen; Robert Koldewey; Wolja Erichsen
Leighton Memorial Medal	award for eminent services to chemistry in Australia	1.0	1.0	0.0	0.0	0.75	1988-01-01T00:00:00Z	2002-01-01T00:00:00Z	Isabel Joy Bear; Roy Jackson
Leipziger Science Award	$null$	1.0	5.0	0.0	0.0	0.10937500000000001	2003-01-01T00:00:00Z	2016-01-01T00:00:00Z	Annette Gabriele Beck-Sickinger; Frank Zöllner; Jürgen Haase; Manfred Rudersdorf; Marius Grundmann; Svante Pääbo
Lemburg Medal	science award	0.0	2.0	0.0	0.0	0.25	1973-01-01T00:00:00Z	2003-01-01T00:00:00Z	Anthony William Linnane; John J. Hopwood
Lemelson–MIT Prize	award	8.0	19.0	0.0	0.0	0.026119492948055264	1995-01-01T00:00:00Z	2018-01-01T00:00:00Z	Angela Belcher; Ashok Gadgil; BP Agrawal; Carolyn Bertozzi; Carver Mead; Chad Mirkin; David Packard; Douglas Engelbart; Edith M. Flanigen; Elizabeth Hausler; George Rathmann; Gertrude B. Elion; Herbert Boyer; James Fergason; Joel Selanikio; John A. Rogers; Joseph DeSimone; Leroy Hood; Luis von Ahn; Maria Oden; Nick Holonyak; Ramesh Raskar; Raymond Vahan Damadian; Sangeeta N. Bhatia; Sidney Pestka; Stephanie L. Kwolek; Stephen Quake
Leo P. Kadanoff Prize	award in statistical and nonlinear physics given by the American Physical Society	1.0	2.0	0.0	0.0	0.5	2019-01-01T00:00:00Z	2021-01-01T00:00:00Z	M. Cristina Marchetti; Nigel Goldenfeld; Sidney Redner
Leo Szilard Lectureship Award	$null$	0.0	24.0	0.0	0.0	5.960464477539063e-08	1974-01-01T00:00:00Z	2016-01-01T00:00:00Z	Carl Sagan; Daniel Kleppner; David R. Inglis; Evgeny Velikhov; Henry Way Kendall; Herbert York; James Edward Hansen; Joel Primack; John Alexander Simpson; John H. Gibbons; M.V. Ramana; Matthew Meselson; Owen Toon; Paul G. Richards; Paul Josef Crutzen; Richard Garwin; Richard P. Turco; Robert H. Socolow; Roger Falcone; Sidney Drell; Siegfried Hecker; Theodore Postol; Thomas B. Cochran; Wolfgang K. H. Panofsky
Leon Thal Award	science award	1.0	1.0	0.0	0.0	0.75	2007-01-01T00:00:00Z	2008-01-01T00:00:00Z	Marilyn S. Albert; Ronald C. Petersen
Leonard Euler Gold Medal	mathematics award	0.0	4.0	0.0	0.0	0.0625	1991-01-01T00:00:00Z	2012-01-01T00:00:00Z	Aleksandr Aleksandrov; Sergei Novikov; Valery Kozlov; Yury Osipov
Leonard Medal	honors outstanding contributions to the science of meteoritics and closely allied fields	0.0	2.0	0.0	0.0	0.25	1968-01-01T00:00:00Z	1992-01-01T00:00:00Z	Ernst Öpik; John T. Wasson
Leonore Siegele-Wenschkewitz Award	German theology award	1.0	0.0	0.0	0.0	1.0	2005-01-01T00:00:00Z	2005-01-01T00:00:00Z	Marlies Flesch-Thebesius
Leopold Griffuel Prize	$null$	3.0	34.0	0.0	0.0	6.165646482259035e-08	1970-01-01T00:00:00Z	2017-01-01T00:00:00Z	Alexander Varshavsky; Anita Roberts; Anne Dejean-Assémat; Anthony Epstein; Brunangelo Falini; C. Everett Koop; Carlo Maria Croce; Dominique Stéhelin; Elizabeth C. Miller; George Klein; Georges Barski; Georges Mathé; Guido Kroemer; Gérard Orth; Hamao Umezawa; Hans Clevers; Henry Kaplan; Howard Temin; Jiří Lukáš; Joseph H. Burchenal; Kari Alitalo; Lee Hartwell; Ludwik Gross; Michael Feldman; Michel Attal; Miroslav Radman; Olivier Delattre; Pierre Chambon; Pierre Potier; Riccardo Dalla-Favera; Richard Doll; Richard Marais; Samuel Broder; Sebastian Amigorena; Steven Rosenberg; Thierry Boon; Umberto Veronesi
Leopold Lichtwitz Medal	$null$	0.0	1.0	0.0	0.0	0.5	2015-01-01T00:00:00Z	2015-01-01T00:00:00Z	Jürgen F. Riemann
Leopold-von-Buch-Plaque	$null$	2.0	47.0	0.0	0.0	2.1778134851047063e-12	1946-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alfred George Fischer; Anthony Hallam; August Buxtorf; Brian Windley; Daniel Bernoulli; Darashaw Nosherwan Wadia; Digby McLaren; Dimitri Nalivkin; Eberhard Clar; Emilie Jäger; Eugen Seibold; Felix Andries Vening Meinesz; Friedrich von Huene; Fritz F. Steininger; Hans Cloos; Hans Peter Schönlaub; Hans Stille; Heinrich Holland; Heinrich Jäckli; Heinz W. Kozur; Ian Plimer; Jean-Paul Poirier; John Imbrie; Kingsley Charles Dunham; Nils Harald Magnusson; Olaf Holtedahl; Otto Schindewolf; Paul Fallot; Pentti Eskola; Peter J. Cook; Peter John Wyllie; Peter Ziegler; Radim Kettner; Raymond A. Price; Rudolf Trümpy; Serge von Bubnoff; Sierd Cloetingh; Stefan Martin Schmid; Tanya Atwater; Teiichi Kobayashi; Traugott Wilhelm Gevers; Trond H. Torsvik; Walter Hermann Bucher; Walther Gothan; Wilhelm Petrascheck; William Drumm Johnston; William Joscelyn Arkell; William Winn Hay; William van Leckwijck
Lequeux Prize	$null$	0.0	2.0	0.0	0.0	0.25	1993-01-01T00:00:00Z	2008-01-01T00:00:00Z	Guy Métivier; Mohammad Ali Amir-Moezzi
Leroy P. Steele Prize	award	0.0	55.0	0.0	0.0	2.7755575615628914e-17	1970-01-01T00:00:00Z	1992-01-01T00:00:00Z	Alberto Calderón; André Weil; Antoni Zygmund; Armand Borel; Dana Scott; Daniel Gorenstein; Deane Montgomery; Donald Knuth; Eberhard Hopf; Edward B. Curtis; Elias M. Stein; Eugenio Calabi; François Trèves; Fritz John; George Mackey; Gerhard Hochschild; Gian-Carlo Rota; H. Blaine Lawson; Hans Lewy; Hassler Whitney; Herbert Federer; Irving Kaplansky; Jacob T. Schwartz; Jacques Dixmier; James Baldwin Carrell; James Glimm; Jean Dieudonné; John Milnor; Joseph J. Kohn; Joseph L. Taylor; Joseph Leo Doob; Lars Ahlfors; Lennart Carleson; Lipman Bers; Martin Davis; Martin Gardner; Michael Spivak; Nelson Dunford; Oscar Zariski; Paul Halmos; Peter Lax; Phillip Griffiths; Raoul Bott; Robert D. Richtmyer; Robert Steinberg; Robin Hartshorne; Rudolf E. Kálmán; Salomon Bochner; Samuel Eilenberg; Shiing-Shen Chern; Solomon Lefschetz; Stephen Cole Kleene; Tsit Yuen Lam; Wendell Fleming; William John Ellison
Leverhulme Medal (Royal Society)	awarded by the Royal Society	0.0	2.0	0.0	0.0	0.25	1993-01-01T00:00:00Z	2010-01-01T00:00:00Z	John Shipley Rowlinson; Martyn Poliakoff
Levitzki prize	Israeli Prize for Israeli Algebra Researchers	0.0	1.0	0.0	0.0	0.5	2003-01-01T00:00:00Z	2003-01-01T00:00:00Z	Uzi Vishne
Lewis Fry Richardson Medal	award for exceptional contributions to nonlinear geophysics	1.0	22.0	0.0	0.0	2.8610229492187504e-06	1998-01-01T00:00:00Z	2020-01-01T00:00:00Z	Akiva Yaglom; Benoit Mandelbrot; Catherine Nicolis; Daniel Schertzer; Edward Ott; Friedrich Hermann Busse; Harry Swinney; Henk Dijkstra; Julian Hunt, Baron Hunt of Chesterton; Jürgen Kurths; Klaus Fraedrich; Michael Ghil; Olivier Talagrand; Peter Read; Raymond Hide; Roberto Benzi; Shaun Lovejoy; Stéphan Fauve; Tim Palmer; Ulrich Schumann; Uriel Frisch; Valerio Lucarini; Vladimir Keilis-Borok
Lieben Prize	award	0.0	14.0	0.0	0.0	6.103515625e-05	1871-01-01T00:00:00Z	2011-01-01T00:00:00Z	Ernst Peter Pick; Felix Ehrenhaft; Frank Verstraete; Hans Leopold Meyer; Leander Ditscheiner; Mihály Kovács; Oswald Richter; Otto Porsch; Paul Friedländer; Robert Kralovics; Ronald Micura; Victor Francis Hess; Victor von Ebner; Zoltan Nusser
Liebig Medal	award	1.0	67.0	0.0	0.0	2.3378109344218694e-19	1903-01-01T00:00:00Z	2016-01-01T00:00:00Z	Adolf Spilker; Adolf von Baeyer; Adolph Frank; Armin Weiss; Arndt Simon; Carl Bosch; Carl Harries; Dieter Oesterhelt; Eduard Buchner; Eduard Zintl; Emil Ehrensberger; Erich Konrad; Erich Thilo; Ernst Ruch; Ernst Späth; Feodor Felix Konrad Lynen; Ferdinand Flury; Friedrich Adolf Paneth; Friedrich Bergius; Friedrich Emich; Friedrich Raschig; Fritz Haber; Georg-Maria Schwab; Gerhard Ertl; Gerhard Schramm; Gustav Franz Hüttig; Gustav Heinrich Johann Apollon Tammann; Günter Scheibe; Hans Fischer; Hans Kuhn; Hans Wolfgang Spiess; Hans-Ulrich Reissig; Heinrich Hock; Helmut Schwarz; Herbert Mayr; Horst Pommer; Ida Noddack; Joachim Sauer; Karl Ziegler; Kurt Issleib; Leopold Horner; Markus Antonietti; Max Planck; Max Schroeder; Meinhart H. Zenk; Oskar Glemser; Otto Hönigschmid; Otto Ruff; Otto Schott; Otto Schönherr; Paul Ehrlich; Reinhard W. Hoffmann; Reinhart Ahlrichs; Robert Emanuel Schmidt; Rolf Appel; Rolf Huisgen; Rudolf Knietsch; Ulrich Schöllkopf; Walter Noddack; Walter Thiel; Walther Ro
Lincoln Prize	$null$	2.0	22.0	0.0	0.0	1.7940998077392578e-05	1991-01-01T00:00:00Z	2011-01-01T00:00:00Z	Allen C. Guelzo; Allen C. Guelzo; Barbara J. Fields; Charles Royster; Craig Symonds; David Herbert Donald; David W. Blight; Don Edward Fehrenbacher; Douglas L. Wilson; Douglas L. Wilson; Elizabeth Brown Pryor; Eric Foner; George C. Rable; Ira Berlin; James M. McPherson; James Oakes; John Hope Franklin; Ken Burns; Kenneth M. Stampp; Michael Burlingame; Phillip S. Paludan; Richard Carwardine; Russell Weigley; William S. McFeely
Linnean Medal	award made annually to alternately a botanist or a zoologist	14.0	175.0	0.0	0.0	7.192361190178684e-37	1888-01-01T00:00:00Z	2020-01-01T00:00:00Z	Adolf Engler; Agnes Arber; Albert Günther; Albert von Kölliker; Alec Jeffreys; Alexander Watt; Alfred Merle Norman; Alfred Newton; Alfred Romer; Alfred Russel Wallace; Alphonse Pyramus de Candolle; Andrew Smith; Arthur Cain; Arthur Cronquist; Arthur Roy Clapham; Arthur Smith Woodward; Arthur Tansley; B. L. Burtt; Barbara Pickersgill; Ben C. Sheldon; Bernard Verdcourt; Brian John Coppins; Bryan Clarke; Carl Pantin; Carl Skottsberg; Cecil Terence Ingold; Charles Edward Hubbard; Charles Edward Jarvis; Charles Godfray; Charles Russell Metcalfe; Charles Sutherland Elton; Chris Humphries; Claus Nielsen; Colin Patterson; Cyril Clarke; Cyril Garnham; D'Arcy Wentworth Thompson; D. M. S. Watson; Daniel Oliver; David Mabberley; David Prain; David Rollinson; David Smith; Derek Yalden; Dianne Edwards; Dukinfield Henry Scott; Edgar Johnson Allen; Edmund Beecher Wilson; Edmund William Mason; Edred John Henry Corner; Eduard Strasburger; Edward Bagnall Poulton; Edwin Stephen Goodrich; Elmer Drew Merril
Lise Meitner Medal and Prize	science award conferred by the Institute of Physics	2.0	0.0	0.0	0.0	1.0	2017-01-01T00:00:00Z	2019-01-01T00:00:00Z	Cristina Lazzeroni; Lucie Green
Liversidge Award	award granted by the Royal Society of Chemistry	0.0	4.0	0.0	0.0	0.0625	1932-01-01T00:00:00Z	1948-01-01T00:00:00Z	Cyril Norman Hinshelwood; Francis William Aston; Friedrich Adolf Paneth; Linus Pauling
Liversidge Medal	award by the Royal Society of New South Wales	0.0	2.0	0.0	0.0	0.25	2012-01-01T00:00:00Z	2014-01-01T00:00:00Z	Martin Banwell; Thomas Maschmeyer
Lobachevsky Prize	award	0.0	15.0	0.0	0.0	3.0517578125e-05	1897-01-01T00:00:00Z	2002-01-01T00:00:00Z	Aleksandr Aleksandrov; Aleksei Pogorelov; Andrey Kolmogorov; David Hilbert; Georges Fontené; Heinz Hopf; Ludwig Schlesinger; Mikhail Leonidovich Gromov; Pavel Aleksandrov; Sergei Novikov; Shiing-Shen Chern; Viktor Wagner; Vladimir Arnold; Vladimir Fock; Élie Cartan
Loder Cup	New Zealand conservation award	5.0	15.0	0.0	0.0	0.020694732666015625	1931-01-01T00:00:00Z	2020-01-01T00:00:00Z	Andrew Davidson Beddie; Arthur David Mead; Bruce D. Clarkson; Colin Charles Ogle; Graeme Atkins; Henry Bennett; Henry Bennett; Hugh Wilson; Lawrance James Metcalf; Lucy May Cranwell; Marguerite Crookes; Nancy Adams; Noeline Baker; Norman Lascelles Elder (1896-1974); Norman Potts; Peter James de Lange; Peter Neville Johnson; Pérrine Moncrieff; William Alexander Thomson; William Martin
Logan Medal	Highest award of the Geological Association of Canada	0.0	23.0	0.0	0.0	1.1920928955078125e-07	1968-01-01T00:00:00Z	2017-01-01T00:00:00Z	Aleksis Dreimanis; Anthony J. Naldrett; Anthony R. Barringer; Charles R. Stelck; David Strangway; Donald F. Sangster; Edward A. Irving; Eric W. Mountjoy; Frank C. Hawthorne; Fred Longstaffe; Harold Williams; James M. Harrison; John J. Clague; John Tuzo Wilson; Raymond A. Price; Richard A.F. Grieve; Richard Lee Armstrong; Robert Legget; Roy Hyndman; Stephen E. Calvert; Thomas Edvard Krogh; William Fyfe; Yves Fortier
Lomonosov Gold Medal	Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences	1.0	63.0	0.0	0.0	3.523657060577889e-18	1961-01-01T00:00:00Z	2018-01-01T00:00:00Z	Aleksandr Solzhenitsyn; Alexander Ivanovich Oparin; Alexander Nesmeyanov; Alexander Pavlovich Vinogradov; Alexander R. Todd, Baron Todd; Alexander Rich; Alexander Spirin; Alexander Tselikov; Anatole Abragam; Anatoly Derevyanko; Anatoly Petrovich Alexandrov; Angel Balevski; Arnaud Denjoy; Boris Sergeyevich Sokolov; C. F. Powell; Dmitrii Knorre; Dmitry Likhachov; Frank Press; Friedrich Hirzebruch; Gerard 't Hooft; Gury Marchuk; Hannes Alfvén; Hermann Klare; Howard Florey; Igor Tamm; István Rusznyák; Jaroslav Kožešník; Jean Leray; Josef Říman; Lennart Carleson; Leonid Keldysh; Martin Chalfie; Michail Lavrentyev; Mikhail Sadovsky; Nikolai Bogolyubov; Nikolai Kochetkov; Nikolai Krasovsky; Nikolai P. Lavyorov; Nikolay Semyonov; Nikolay Vasilyevich Belov; Nikoloz Muskhelishvili; Olga Ladyzhenskaya; Pavle Savić; Peter Hirsch; Peter Lax; Roald Hoffmann; Rudolf Mössbauer; Semyon Volfkovich; Sergei Sobolev; Sidney Altman; Simon Franklin; Spartak Belyaev; Svyatoslav Fyodorov; Valentin Yanin; Victo
Lorentz Medal	award	0.0	1.0	0.0	0.0	0.5	1953-01-01T00:00:00Z	1953-01-01T00:00:00Z	Fritz London
Lorenz Oken Medal	$null$	0.0	14.0	0.0	0.0	6.103515625e-05	1984-01-01T00:00:00Z	2016-01-01T00:00:00Z	Anton Zeilinger; Bert Hölldobler; Ernst Peter Fischer; Hanns Ruder; Hans-Jürgen Quadbeck-Seeger; Heinz Maier-Leibnitz; Hermann Haken; Hubert Markl; Jens Reich; Joachim Treusch; Jürgen Mittelstraß; Lothar Jaenicke; Peter Sitte; Rudolf Kippenhahn
Louis D. Prize	$null$	0.0	1.0	0.0	0.0	0.5	2012-01-01T00:00:00Z	2012-01-01T00:00:00Z	Philippe Bouyer
Louis Néel Medal	$null$	0.0	5.0	0.0	0.0	0.03125	1994-01-01T00:00:00Z	2007-01-01T00:00:00Z	David J. Dunlop; David Price; Frank D. Stacey; Friedrich Heller; Jean-Paul Poirier
Louis-Jeantet Prize for Medicine	$null$	3.0	4.0	0.0	0.0	0.4999999999999999	1990-01-01T00:00:00Z	2015-01-01T00:00:00Z	Alain Fischer; Emmanuelle Charpentier; Fiona Powrie; Michel Haïssaguerre; Nicole Marthe Le Douarin; Svante Pääbo; Ulrich Karl Lämmli
Louisa Gross Horwitz Prize	Annual prize awarded by Columbia University	8.0	34.0	0.0	0.0	3.438555745560735e-05	1969-01-01T00:00:00Z	2019-01-01T00:00:00Z	Ada Yonath; Albert Claude; Alfred G. Gilman; Anthony Pawson; Barbara McClintock; Bert W. O'Malley; Bertil Hille; Bruce William Stillman; Carol Greider; Christiane Nüsslein-Volhard; Clay Armstrong; David M. Sabatini; Donald D. Brown; Edwin G. Krebs; James Rothman; Joe Lutkenhaus; John Kappler; Joseph L. Goldstein; Keith R. Porter; Kurt Wüthrich; Lee Hartwell; Lewis C. Cantley; Lucy Shapiro; May-Britt Moser; Michael Rosbash; Michael W. Young; Nicole Marthe Le Douarin; Peter K. Vogt; Philippa Marrack; Pierre Chambon; Renato Dulbecco; Richard R. Ernst; Robert G. Roeder; Roger D. Kornberg; Ronald M. Evans; S. Lawrence Zipursky; Salvador Luria; Stanley B. Prusiner; Stephen C. Harrison; Theodore Puck; Victor Ambros; Walter Gilbert
Loye and Alden Miller Research Award	$null$	2.0	13.0	0.0	0.0	0.003692626953124999	1993-01-01T00:00:00Z	2009-01-01T00:00:00Z	Alexander Skutch; Barbara De Wolfe; Ernst Mayr; Frances James; Frank Alois Pitelka; George A. Bartholomew; Gordon Orians; John Wiens; Richard Holmes; Robert Payne; Robert Ricklefs; Robert Winthrop Storer; Russell Balda; Storrs L. Olson; William Dawson
Luigi Galvani Medal	chemistry prize	0.0	3.0	0.0	0.0	0.125	2000-01-01T00:00:00Z	2015-01-01T00:00:00Z	Alejandro J. Arvi; Dieter M. Kolb; Philip N. Bartlett
Lundbeckfonden's talent prize	science award	1.0	2.0	0.0	0.0	0.5	2002-01-01T00:00:00Z	2008-01-01T00:00:00Z	Lars Juhl Jensen; Mark Schram Christensen; Milena Penkowa
Lundbeckfonden’s Research Prize for Young Scientists	$null$	0.0	2.0	0.0	0.0	0.25	2010-01-01T00:00:00Z	2011-01-01T00:00:00Z	Eske Willerslev; Lars Juhl Jensen
Lurie Prize in Biomedical Sciences	prize awarded by the Foundation for the National Institutes of Health	1.0	3.0	0.0	0.0	0.3125	2013-01-01T00:00:00Z	2017-01-01T00:00:00Z	David M. Sabatini; Jeannie T. Lee; Karl Deisseroth; Ruslan Medzhitov
Lyapunov Prize	Russian scientific prize	0.0	2.0	0.0	0.0	0.25	1977-01-01T00:00:00Z	1989-01-01T00:00:00Z	Nikolai Bogolyubov; Vladimir Chelomey
